,session1,session2,condition
A-3,60.747663551401864,80.37383177570094,control
A-5,83.80952380952381,89.62264150943396,control
A-6,83.17757009345794,49.532710280373834,request
A-7,64.15094339622642,42.45283018867924,control
A-8,40.0,41.12149532710281,request
A-9,43.39622641509434,60.747663551401864,control
A-12,16.981132075471695,41.12149532710281,request
A-14,27.10280373831776,21.698113207547166,request
A-15,27.77777777777778,45.28301886792453,control
A-17,54.71698113207547,61.68224299065421,control
A-18,5.607476635514019,4.716981132075471,request
A-19,43.39622641509434,40.186915887850475,control
A-20,21.698113207547166,22.429906542056077,request
A-21,43.925233644859816,28.70370370370371,control
A-22,22.64150943396226,24.07407407407407,request
A-23,23.584905660377352,40.186915887850475,control
A-25,41.12149532710281,46.728971962616825,control
A-26,32.38095238095238,40.56603773584906,request
A-27,65.42056074766356,61.111111111111114,control
A-28,40.186915887850475,34.57943925233645,request
A-29,43.925233644859816,23.364485981308412,control
A-32,29.24528301886793,32.71028037383178,request
A-33,49.07407407407407,42.990654205607484,control
A-34,50.0,53.271028037383175,request
B1-2,19.166666666666664,50.0,control
B1-3,20.833333333333336,19.999999999999996,request
B1-4,89.16666666666666,44.166666666666664,control
B1-5,38.33333333333333,77.5,request
B1-6,40.0,70.0,control
B1-7,61.66666666666667,40.0,request
B1-8,43.333333333333336,84.16666666666667,control
B1-9,60.83333333333334,25.83333333333333,request
B1-14,45.833333333333336,33.333333333333336,control
B1-15,61.66666666666667,48.33333333333333,request
B1-16,65.83333333333333,83.33333333333334,control
B1-17,41.666666666666664,25.0,request
B1-19,80.0,40.833333333333336,request
B1-20,84.16666666666667,82.5,control
B1-23,60.0,25.83333333333333,request
B1-24,48.73949579831933,53.333333333333336,control
B1-25,35.0,43.333333333333336,request
B1-29,84.16666666666667,51.66666666666666,request
B1-30,60.0,43.333333333333336,control
B1-31,60.83333333333334,35.83333333333333,request
B1-32,46.666666666666664,40.0,control
B1-33,94.16666666666667,56.666666666666664,request
B1-35,20.833333333333336,21.666666666666668,request
