timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1581694863.903,26.367,33.203,27.344,22.461,0.0,0
1581694863.907,22.461,22.461,28.32,19.531,0.0,0
1581694863.911,20.508000000000006,24.902,35.645,16.602,0.0,0
1581694863.915,20.996,32.715,34.18,20.02,0.0,0
1581694863.919,20.508000000000006,35.156,27.344,9.766,0.0,0
1581694863.923,24.414,36.133,27.344,17.09,0.0,0
1581694863.927,29.297,38.574,23.926,23.438,0.0,0
1581694863.93,33.203,38.086,23.926,20.508000000000006,0.0,0
1581694863.934,32.227,33.691,25.391,11.23,0.0,0
1581694863.938,25.391,36.621,25.879,7.812,0.0,0
1581694863.9420002,22.949,37.109,25.391,17.578,0.0,0
1581694863.946,20.508000000000006,24.902,22.949,20.02,0.0,0
1581694863.948,15.625,18.555,22.949,12.695,0.0,0
1581694863.952,19.043,26.367,24.902,10.742,0.0,0
1581694863.956,19.043,30.762,25.879,16.602,0.0,0
1581694863.96,13.184,29.785,27.832,19.531,0.0,0
1581694863.964,18.555,33.203,26.367,16.602,0.0,0
1581694863.968,28.32,35.645,24.414,19.531,0.0,0
1581694863.972,31.25,34.18,26.367,25.879,0.0,0
1581694863.975,33.691,34.18,29.297,23.438,0.0,0
1581694863.979,36.133,34.668,32.715,19.043,0.0,0
1581694863.9829998,32.715,27.832,31.738000000000003,19.043,0.0,0
1581694863.9870002,33.691,27.832,24.902,24.902,0.0,0
1581694863.9910002,32.227,34.668,21.973000000000006,31.738000000000003,0.0,0
1581694863.9929998,27.344,32.227,24.902,26.367,0.0,0
1581694863.9970002,24.902,31.25,25.391,18.555,0.0,0
1581694864.0010002,25.391,35.156,24.902,22.461,0.0,0
1581694864.005,26.855,35.156,26.855,26.367,0.0,0
1581694864.0089998,25.879,37.598,25.391,21.484,0.0,0
1581694864.0129998,24.414,35.645,25.879,25.879,0.0,0
1581694864.0170002,22.461,30.762,26.855,28.32,0.0,0
1581694864.02,20.508000000000006,31.738000000000003,26.367,23.438,0.0,0
1581694864.024,27.832,34.18,24.902,20.996,0.0,0
1581694864.028,29.297,39.551,24.414,18.555,0.0,0
1581694864.032,21.973000000000006,39.062,24.414,19.043,0.0,0
1581694864.036,19.531,33.691,22.461,20.996,0.0,0
1581694864.038,22.949,34.668,21.973000000000006,19.043,0.0,0
1581694864.042,22.461,35.645,21.484,13.184,0.0,0
1581694864.046,21.973000000000006,29.297,25.391,17.578,0.0,0
1581694864.05,20.996,26.855,29.297,21.484,0.0,0
1581694864.054,22.461,26.855,23.926,14.16,0.0,0
1581694864.0579998,27.344,24.902,20.508000000000006,8.789,0.0,0
1581694864.062,22.461,26.855,21.484,14.16,0.0,0
1581694864.065,17.578,28.809,19.531,15.137,0.0,0
1581694864.069,17.578,29.297,19.531,12.695,0.0,0
1581694864.073,20.02,29.297,23.438,15.625,0.0,0
1581694864.077,20.02,31.25,25.391,17.578,0.0,0
1581694864.081,17.09,32.715,28.32,19.043,0.0,0
1581694864.083,20.996,31.738000000000003,31.25,21.973000000000006,0.0,0
1581694864.087,26.855,33.691,32.227,27.344,0.0,0
1581694864.091,16.113,29.297,32.227,18.555,0.0,0
1581694864.095,13.672,27.344,23.926,14.16,0.0,0
1581694864.099,22.461,32.227,21.484,23.438,0.0,0
1581694864.103,27.832,31.25,29.297,22.949,0.0,0
1581694864.107,28.809,30.762,28.32,23.926,0.0,0
1581694864.11,25.879,30.762,29.297,24.414,0.0,0
1581694864.1139998,23.438,28.32,34.18,21.484,0.0,0
1581694864.1179998,22.461,28.809,38.086,15.137,0.0,0
1581694864.1220002,26.855,32.227,38.086,8.301,0.0,0
1581694864.1260002,32.227,33.203,36.133,7.324,0.0,0
1581694864.143,29.297,34.668,39.551,9.277,0.0,0
1581694864.147,30.762,38.086,38.574,12.207,0.0,0
1581694864.151,38.086,41.01600000000001,33.691,11.23,0.0,0
1581694864.155,48.828,38.086,30.273000000000003,19.043,0.0,0
