timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1582732948.459,18.555,25.391,-6.348,-37.598,0.0,0
1582732948.4629998,19.043,30.762,-4.395,-42.48,0.0,0
1582732948.467,25.879,36.133,-5.859,-42.48,0.0,0
1582732948.471,24.902,25.879,-9.766,-38.574,0.0,0
1582732948.475,25.391,25.391,-10.742,-33.691,0.0,0
1582732948.479,28.32,33.691,-6.348,-36.133,0.0,0
1582732948.4829998,25.879,38.574,-9.766,-44.922,0.0,0
1582732948.486,14.16,41.992,-11.719,-44.922,0.0,0
1582732948.49,17.09,39.551,-10.742,-45.41,0.0,0
1582732948.494,17.09,33.203,-15.137,-48.34,0.0,0
1582732948.498,16.602,28.32,-10.254,-46.387,0.0,0
1582732948.502,25.879,30.273000000000003,-4.395,-40.039,0.0,0
1582732948.504,29.297,29.297,-10.742,-38.086,0.0,0
1582732948.508,19.531,31.738000000000003,-13.184,-43.457,0.0,0
1582732948.512,16.602,35.645,-10.254,-47.363,0.0,0
1582732948.516,21.973000000000006,36.133,-10.254,-54.688,0.0,0
1582732948.52,24.902,38.574,-8.789,-50.293,0.0,0
1582732948.524,19.531,39.062,-6.348,-47.852,0.0,0
1582732948.528,13.184,37.109,-7.812,-54.199,0.0,0
1582732948.531,21.484,31.738000000000003,-10.254,-47.363,0.0,0
1582732948.535,25.391,32.227,-8.301,-44.922,0.0,0
1582732948.539,26.855,28.32,-3.418,-41.01600000000001,0.0,0
1582732948.543,28.32,26.855,-5.371,-38.574,0.0,0
1582732948.5470002,22.949,36.621,-13.184,-45.41,0.0,0
1582732948.549,22.461,39.551,-12.695,-46.387,0.0,0
1582732948.553,24.902,36.621,-10.254,-40.039,0.0,0
1582732948.5570002,22.949,34.668,-7.812,-41.01600000000001,0.0,0
1582732948.561,25.391,36.621,-4.883,-40.039,0.0,0
1582732948.565,24.902,36.621,-8.301,-35.156,0.0,0
1582732948.569,23.438,33.203,-7.812,-39.062,0.0,0
1582732948.573,29.785,32.715,-5.859,-42.969,0.0,0
1582732948.576,26.367,23.926,-8.789,-48.34,0.0,0
1582732948.58,24.902,23.438,-5.859,-43.457,0.0,0
1582732948.584,23.926,34.668,-7.812,-37.598,0.0,0
1582732948.5879998,22.461,41.992,-11.23,-41.01600000000001,0.0,0
1582732948.592,26.855,37.598,-11.719,-39.062,0.0,0
1582732948.594,33.203,31.738000000000003,-14.648,-38.086,0.0,0
1582732948.5979998,34.668,31.738000000000003,-15.625,-34.668,0.0,0
1582732948.6020002,26.855,34.668,-15.137,-29.297,0.0,0
1582732948.606,22.949,37.598,-12.207,-30.762,0.0,0
1582732948.61,19.531,31.738000000000003,-11.23,-31.25,0.0,0
1582732948.6139998,22.461,33.691,-12.695,-26.855,0.0,0
1582732948.6179998,28.32,39.551,-14.16,-27.344,0.0,0
1582732948.621,24.414,33.691,-9.277,-31.25,0.0,0
1582732948.625,23.438,31.25,-3.906,-26.855,0.0,0
1582732948.629,20.508000000000006,34.668,-6.348,-25.391,0.0,0
1582732948.633,18.555,33.691,-8.789,-26.367,0.0,0
1582732948.637,11.719,32.227,-9.277,-22.949,0.0,0
1582732948.639,12.207,30.273000000000003,-14.648,-32.227,0.0,0
1582732948.643,20.508000000000006,24.902,-14.648,-35.156,0.0,0
1582732948.647,19.531,24.414,-9.766,-27.832,0.0,0
1582732948.651,24.902,29.297,-9.766,-26.367,0.0,0
1582732948.655,23.438,28.809,-11.719,-26.367,0.0,0
1582732948.659,30.762,27.344,-12.207,-24.414,0.0,0
1582732948.663,35.645,27.344,-9.277,-27.832,0.0,0
1582732948.666,26.367,30.762,-7.812,-37.598,0.0,0
1582732948.67,31.25,29.785,-6.348,-33.691,0.0,0
1582732948.674,27.344,21.973000000000006,-3.418,-29.297,0.0,0
1582732948.678,23.926,27.832,-7.812,-35.156,0.0,0
1582732948.6820002,24.902,37.109,-12.207,-41.992,0.0,0
1582732948.699,24.414,36.133,-13.184,-40.039,0.0,0
1582732948.7029998,24.414,36.621,-13.184,-41.504,0.0,0
1582732948.707,24.414,35.156,-14.648,-41.01600000000001,0.0,0
1582732948.711,32.227,29.297,-13.184,-34.668,0.0,0
1582732948.715,41.01600000000001,24.902,-9.766,-30.762,0.0,0
1582732948.719,27.344,30.762,-9.766,-32.715,0.0,0
1582732948.7229998,20.996,43.945,-11.23,-50.78100000000001,0.0,0
1582732948.726,23.926,43.945,-11.719,-54.199,0.0,0
1582732948.73,21.973000000000006,36.621,-12.207,-41.01600000000001,0.0,0
1582732948.734,27.344,36.133,-12.695,-33.203,0.0,0
1582732948.738,33.691,38.574,-6.836,-31.738000000000003,0.0,0
1582732948.742,30.273000000000003,35.645,-2.441,-34.668,0.0,0
1582732948.744,26.855,29.297,-5.371,-36.621,0.0,0
1582732948.748,33.203,33.203,-6.348,-31.25,0.0,0
1582732948.752,30.273000000000003,31.25,-6.836,-27.832,0.0,0
1582732948.756,28.32,26.855,-7.324,-26.367,0.0,0
1582732948.76,30.273000000000003,20.996,-5.371,-25.391,0.0,0
1582732948.764,30.273000000000003,20.02,-2.93,-17.09,0.0,0
1582732948.768,28.809,37.598,-4.395,-20.508000000000006,0.0,0
1582732948.771,24.902,43.457,-11.23,-32.227,0.0,0
1582732948.775,25.391,42.969,-13.184,-32.227,0.0,0
1582732948.779,21.973000000000006,37.598,-11.23,-35.645,0.0,0
1582732948.783,28.809,37.598,-10.742,-33.691,0.0,0
1582732948.7870002,31.738000000000003,39.551,-7.812,-28.809,0.0,0
1582732948.789,25.391,34.18,-6.348,-27.832,0.0,0
1582732948.793,23.926,30.273000000000003,-4.883,-27.344,0.0,0
1582732948.7970002,28.32,34.18,-4.395,-24.902,0.0,0
1582732948.801,31.738000000000003,31.738000000000003,-7.324,-19.043,0.0,0
1582732948.805,36.133,28.32,-7.324,-15.137,0.0,0
1582732948.809,35.645,38.574,-3.906,-24.414,0.0,0
1582732948.813,28.32,40.527,-8.301,-38.086,0.0,0
1582732948.816,28.32,38.086,-12.695,-32.227,0.0,0
1582732948.82,30.762,34.668,-10.254,-28.809,0.0,0
1582732948.824,30.762,30.273000000000003,-8.789,-35.645,0.0,0
1582732948.8279998,27.344,31.25,-12.207,-32.715,0.0,0
1582732948.832,25.391,33.691,-11.23,-24.414,0.0,0
1582732948.834,27.344,37.598,-7.324,-20.996,0.0,0
1582732948.8379998,29.785,29.297,-9.766,-23.926,0.0,0
1582732948.842,28.32,22.461,-9.766,-20.996,0.0,0
1582732948.846,27.832,32.227,-7.812,-22.461,0.0,0
1582732948.85,29.785,31.25,-8.789,-26.367,0.0,0
1582732948.854,29.297,32.227,-12.695,-27.832,0.0,0
1582732948.8579998,22.949,37.598,-13.184,-23.926,0.0,0
1582732948.861,22.461,32.715,-12.207,-18.555,0.0,0
1582732948.865,22.461,37.109,-14.16,-27.344,0.0,0
1582732948.869,25.391,43.457,-16.602,-30.273000000000003,0.0,0
1582732948.873,28.32,41.504,-15.137,-22.461,0.0,0
1582732948.877,23.926,29.785,-15.625,-22.949,0.0,0
1582732948.879,19.043,26.855,-17.09,-20.508000000000006,0.0,0
1582732948.883,20.508000000000006,33.203,-14.16,-21.973000000000006,0.0,0
1582732948.887,26.367,31.738000000000003,-10.254,-20.996,0.0,0
1582732948.891,33.691,31.738000000000003,-10.742,-20.508000000000006,0.0,0
1582732948.895,30.762,32.227,-9.277,-24.414,0.0,0
1582732948.899,22.949,34.18,-10.742,-23.926,0.0,0
1582732948.903,25.391,34.18,-11.23,-20.996,0.0,0
1582732948.906,25.879,27.832,-8.301,-19.043,0.0,0
1582732948.91,17.578,27.832,-8.301,-20.996,0.0,0
1582732948.914,20.02,32.715,-11.719,-18.555,0.0,0
